COMPANION_SEQ,TRAVEL_ID,REL_CD,COMPANION_GENDER,COMPANION_AGE_GRP,COMPANION_SITUATION
2,e_e003524,2,1,2,1
1,e_e003524,1,2,5,1
2,e_e003529,7,2,6,1
1,e_e003529,1,2,6,1
1,e_e003533,8,2,4,1
1,e_e003548,7,2,4,3
1,e_e003557,1,1,6,1
2,e_e003557,2,2,3,1
1,e_e003584,5,1,3,1
1,e_e003718,8,1,4,1
3,e_e003718,7,2,4,1
2,e_e003718,7,1,4,1
2,e_e003751,7,2,3,1
1,e_e003751,7,2,3,1
1,e_e003814,1,1,7,1
2,e_e003814,2,2,4,1
1,e_e003836,7,2,4,3
1,e_e003854,8,1,4,1
1,e_e003914,7,2,3,1
1,e_e003951,8,1,3,1
2,e_e003961,2,2,2,1
1,e_e003961,1,1,5,1
3,e_e003961,2,2,1,1
1,e_e003986,7,2,4,1
1,e_e003995,8,1,4,1
1,e_e004052,8,2,3,1
2,e_e004061,7,2,4,3
1,e_e004061,2,1,1,1
3,e_e004061,7,1,1,3
1,e_e004117,3,2,7,1
3,e_e004117,6,1,1,1
2,e_e004117,5,2,4,1
2,e_e004129,7,2,4,3
1,e_e004129,7,2,4,3
3,e_e004129,7,2,5,3
2,e_e004150,7,2,3,1
1,e_e004150,7,2,3,1
1,e_e004197,3,2,6,1
1,e_e004329,7,1,4,1
1,e_e004346,1,1,7,1
1,e_e004350,2,1,1,1
2,e_e004359,2,2,1,1
4,e_e004359,6,2,2,1
1,e_e004359,3,2,7,1
3,e_e004359,6,2,6,1
5,e_e004359,6,2,2,1
1,e_e004376,7,2,3,1
1,e_e004440,7,1,3,1
1,e_e004583,3,1,8,1
2,e_e004583,3,2,8,1
2,e_e004605,11,1,1,3
1,e_e004605,2,2,4,3
1,e_e004672,8,1,3,1
1,e_e004802,2,1,1,1
1,e_e004874,1,2,4,1
2,e_e004913,7,2,4,2
4,e_e004913,7,2,4,2
6,e_e004913,11,2,1,2
1,e_e004913,2,2,1,1
3,e_e004913,11,1,1,2
5,e_e004913,11,2,1,2
7,e_e004913,7,2,4,2
1,e_e004916,8,1,3,3
1,e_e004963,1,1,4,1
3,e_e004967,6,2,7,1
2,e_e004967,6,2,8,1
1,e_e004967,3,2,7,1
2,e_e004995,7,1,4,3
1,e_e004995,7,1,4,2
1,e_e005003,7,1,3,3
1,e_e005006,8,2,4,1
2,e_e005088,2,1,1,1
1,e_e005088,1,1,5,1
1,e_e005141,8,1,4,3
2,e_e005276,2,1,2,1
1,e_e005276,1,2,5,1
3,e_e005276,2,2,1,1
1,e_e005297,3,2,6,1
1,e_e005373,1,2,4,1
2,e_e005373,2,1,1,1
1,e_e005386,1,1,4,1
3,e_e005386,2,2,1,1
2,e_e005386,2,1,1,1
1,e_e005445,8,1,3,1
1,e_e005481,8,2,3,1
1,e_e005501,8,1,6,1
1,e_e005529,8,1,3,1
1,e_e005534,1,1,4,1
1,e_e005581,8,1,4,1
1,e_e005693,8,2,3,1
1,e_e005700,1,2,4,1
1,e_e005707,7,2,4,1
3,e_e005707,7,2,4,1
2,e_e005707,7,2,4,1
1,e_e005744,1,1,7,1
2,e_e005744,7,2,7,1
1,e_e005798,1,2,4,1
3,e_e005798,2,2,1,1
2,e_e005798,2,2,1,1
2,e_e005830,2,2,1,1
1,e_e005830,1,2,5,1
1,e_e006158,2,1,2,1
2,e_e006200,2,1,1,1
1,e_e006200,1,2,4,1
3,e_e006200,2,1,1,1
1,e_e006205,8,1,3,1
2,e_e006240,2,1,2,1
1,e_e006240,1,2,5,1
1,e_e006442,1,1,6,1
1,e_e006445,1,1,5,1
2,e_e006445,2,2,2,1
1,e_e006530,8,1,3,1
1,e_e006536,2,2,3,1
1,e_e006561,8,1,3,1
1,e_e006564,8,1,3,1
1,e_e006787,8,1,4,1
1,e_e006803,1,1,5,1
2,e_e006803,2,1,2,2
2,e_e006819,2,2,1,1
1,e_e006819,1,2,4,1
1,e_e006836,1,2,4,1
2,e_e006836,2,1,1,1
1,e_e006841,2,2,2,1
1,e_e006889,8,1,4,3
2,e_e006898,2,2,3,1
1,e_e006898,1,2,6,1
